Start training epoch:0 @Thu Jan  2 23:35:35 2020
Testing Results: Prec@1 62.094 Prec@5 89.585 Loss 1.36987
Best Prec@1: 62.094

Start training epoch:1 @Thu Jan  2 23:40:48 2020
Epoch: [1][0/794], lr: 0.00200	Time 3.471 (3.471)	Data 2.293 (2.293)	Loss 1.7681 (1.7681)	Prec@1 50.000 (50.000)	Prec@5 83.333 (83.333)
Epoch: [1][10/794], lr: 0.00200	Time 3.354 (3.412)	Data 3.025 (1.618)	Loss 1.2741 (1.6472)	Prec@1 50.000 (56.818)	Prec@5 83.333 (83.333)
Epoch: [1][20/794], lr: 0.00200	Time 3.267 (3.364)	Data 2.927 (1.545)	Loss 1.9279 (1.7208)	Prec@1 33.333 (55.159)	Prec@5 75.000 (80.952)
Epoch: [1][30/794], lr: 0.00200	Time 3.231 (3.331)	Data 2.901 (1.515)	Loss 0.9201 (1.7200)	Prec@1 91.667 (56.452)	Prec@5 100.000 (81.989)
Epoch: [1][40/794], lr: 0.00200	Time 3.250 (3.315)	Data 2.914 (1.501)	Loss 1.3398 (1.6378)	Prec@1 58.333 (58.537)	Prec@5 91.667 (83.537)
Epoch: [1][50/794], lr: 0.00200	Time 3.259 (3.305)	Data 2.930 (1.492)	Loss 1.0666 (1.6001)	Prec@1 58.333 (58.170)	Prec@5 91.667 (83.660)
Epoch: [1][60/794], lr: 0.00200	Time 3.244 (3.297)	Data 2.910 (1.485)	Loss 1.7420 (1.5648)	Prec@1 58.333 (59.563)	Prec@5 75.000 (83.880)
Epoch: [1][70/794], lr: 0.00200	Time 3.246 (3.290)	Data 2.913 (1.481)	Loss 1.8378 (1.5498)	Prec@1 58.333 (59.859)	Prec@5 83.333 (84.507)
Epoch: [1][80/794], lr: 0.00200	Time 3.229 (3.283)	Data 2.888 (1.476)	Loss 0.9244 (1.5546)	Prec@1 83.333 (59.877)	Prec@5 91.667 (84.259)
